Material_Name,Embodied_Carbon_kgCO2e_kg,Data_Source
"Timber, Hardwood - No Carbon Storage",0.3055605438580264,ICE Database V5.0 (Circular Ecology)
"Timber, Laminate - No Carbon Storage",0.6977633702033249,ICE Database V5.0 (Circular Ecology)
"Timber, Laminated strand lumber - No Carbon Storage",0.5040791661821618,ICE Database V5.0 (Circular Ecology)
"Timber, Laminated veneer lumber - No Carbon Storage",0.38980151409700864,ICE Database V5.0 (Circular Ecology)
"Timber, MDF - No Carbon Storage",0.8564543216570808,ICE Database V5.0 (Circular Ecology)
"Timber, Open panel timber frame system - No Carbon Storage",0.3451776649746193,ICE Database V5.0 (Circular Ecology)
"Timber, OSB - No Carbon Storage",0.4550691214456056,ICE Database V5.0 (Circular Ecology)
"Timber, Parquet - No Carbon Storage",0.8112189857037869,ICE Database V5.0 (Circular Ecology)
"Timber, Particle Board - No Carbon Storage",0.6642659428279294,ICE Database V5.0 (Circular Ecology)
"Timber, Plywood - No Carbon Storage",0.6814642859887556,ICE Database V5.0 (Circular Ecology)
"Timber, Softwood - No Carbon Storage",0.26259445783377083,ICE Database V5.0 (Circular Ecology)
"Timber, Wood I-Beam - No Carbon Storage",0.48330205147572497,ICE Database V5.0 (Circular Ecology)
"Timber, Wood-plastic composite - No Carbon Storage",1.44,ICE Database V5.0 (Circular Ecology)
Timber - Average of all data - Including Carbon Storage,0.6344419745837352,ICE Database V5.0 (Circular Ecology)
"Timber, Chipboard - Including Carbon Storage",0.6147727272727272,ICE Database V5.0 (Circular Ecology)
"Timber, Closed panel timber frame system - Including Carbon Storage",0.6399999999999999,ICE Database V5.0 (Circular Ecology)
"Timber, CLT - Including Carbon Storage",0.84,ICE Database V5.0 (Circular Ecology)
"Timber, Fibreboard - Including Carbon Storage",0.615,ICE Database V5.0 (Circular Ecology)
"Timber, Glulam - Including Carbon Storage",0.84,ICE Database V5.0 (Circular Ecology)
"Timber, Hardboard - Including Carbon Storage",0.6666666666666667,ICE Database V5.0 (Circular Ecology)
"Timber, Hardwood - Including Carbon Storage",0.6363636363636364,ICE Database V5.0 (Circular Ecology)
"Timber, Laminate - Including Carbon Storage",0.7015384615384616,ICE Database V5.0 (Circular Ecology)
"Timber, Laminated strand lumber - Including Carbon Storage",0.6102857142857144,ICE Database V5.0 (Circular Ecology)
"Timber, Laminated veneer lumber - Including Carbon Storage",0.5381818181818181,ICE Database V5.0 (Circular Ecology)
"Timber, MDF - Including Carbon Storage",0.6016666666666667,ICE Database V5.0 (Circular Ecology)
"Timber, Open panel timber frame system - Including Carbon Storage",0.56,ICE Database V5.0 (Circular Ecology)
"Timber, OSB - Including Carbon Storage",0.624,ICE Database V5.0 (Circular Ecology)
"Timber, Parquet - Including Carbon Storage",0.6,ICE Database V5.0 (Circular Ecology)
"Timber, Particle Board - Including Carbon Storage",0.7567567567567568,ICE Database V5.0 (Circular Ecology)
"Timber, Plywood - Including Carbon Storage",0.64,ICE Database V5.0 (Circular Ecology)
"Timber, Softwood - Including Carbon Storage",0.64,ICE Database V5.0 (Circular Ecology)
"Timber, Wood I-Beam - Including Carbon Storage",0.6,ICE Database V5.0 (Circular Ecology)
"Timber, Wood-plastic composite - Including Carbon Storage",0.58,ICE Database V5.0 (Circular Ecology)
"Vinyl, Sheet",2.3976727362400494,ICE Database V5.0 (Circular Ecology)
"Vinyl, Tile",1.7400842973863049,ICE Database V5.0 (Circular Ecology)
